iter	Passed	Remaining
703	13576	5708
704	13593	5687
705	13610	5667
706	13628	5647
707	13644	5627
708	13663	5608
709	13685	5589
710	13708	5572
711	13732	5554
712	13753	5536
713	13774	5517
714	13799	5500
715	13819	5481
716	13837	5461
717	13853	5440
718	13869	5420
719	13889	5401
720	13906	5381
721	13920	5359
722	13933	5338
723	13948	5317
724	13962	5296
725	13977	5275
726	13993	5254
727	14008	5233
728	14022	5212
729	14037	5192
730	14052	5171
731	14071	5151
732	14088	5131
733	14101	5110
734	14120	5091
735	14141	5072
736	14165	5054
737	14186	5036
738	14208	5018
739	14227	4998
740	14244	4978
741	14259	4958
742	14277	4938
743	14299	4920
744	14315	4899
745	14330	4879
746	14345	4858
747	14359	4837
748	14375	4817
749	14391	4797
750	14407	4776
751	14422	4756
752	14439	4736
753	14456	4716
754	14473	4696
755	14493	4677
756	14509	4657
757	14525	4637
758	14542	4617
759	14556	4596
760	14574	4577
761	14593	4557
762	14611	4538
763	14629	4519
764	14647	4499
765	14662	4479
766	14683	4460
767	14701	4441
768	14718	4421
769	14735	4401
770	14750	4381
771	14768	4361
772	14783	4341
773	14799	4321
774	14817	4301
775	14832	4281
776	14851	4262
777	14869	4243
778	14884	4222
779	14898	4202
780	14916	4182
781	14931	4162
782	14948	4142
783	14965	4123
784	14981	4103
785	14996	4083
786	15013	4063
787	15029	4043
788	15047	4024
789	15063	4004
790	15083	3985
791	15097	3965
792	15114	3945
793	15128	3924
794	15142	3904
795	15159	3885
796	15174	3865
797	15189	3844
798	15202	3824
799	15215	3803
800	15229	3783
801	15244	3763
802	15260	3743
803	15275	3723
804	15291	3704
805	15310	3685
806	15326	3665
807	15342	3645
808	15361	3626
809	15377	3607
810	15398	3588
811	15419	3570
812	15441	3551
813	15462	3533
814	15482	3514
815	15499	3495
816	15514	3475
817	15528	3454
818	15542	3434
819	15556	3414
820	15571	3395
821	15585	3375
822	15599	3354
823	15612	3334
824	15626	3314
825	15640	3294
826	15654	3274
827	15668	3254
828	15683	3235
829	15724	3220
830	15742	3201
831	15758	3182
832	15777	3163
833	15796	3144
834	15815	3125
835	15840	3107
836	15858	3088
837	15874	3068
838	15894	3050
839	15918	3032
840	15940	3013
841	15956	2994
842	16000	2979
843	16028	2962
844	16046	2943
845	16061	2923
846	16080	2904
847	16095	2884
848	16109	2865
849	16122	2845
850	16138	2825
851	16153	2806
852	16170	2786
853	16187	2767
854	16205	2748
855	16225	2729
856	16244	2710
857	16266	2692
858	16292	2674
859	16313	2655
860	16335	2637
861	16354	2618
862	16373	2599
863	16389	2579
864	16406	2560
865	16422	2541
866	16439	2521
867	16456	2502
868	16477	2483
869	16499	2465
870	16518	2446
871	16536	2427
872	16553	2408
873	16571	2389
874	16587	2369
875	16605	2350
876	16626	2331
877	16646	2313
878	16665	2294
879	16683	2275
880	16707	2256
881	16730	2238
882	16750	2219
883	16769	2200
884	16794	2182
885	16818	2163
886	16842	2145
887	16860	2126
888	16881	2107
889	16902	2089
890	16926	2070
891	16947	2051
892	16964	2032
893	16977	2012
894	16995	1993
895	17013	1974
896	17030	1955
897	17046	1936
898	17063	1917
899	17081	1897
900	17099	1878
901	17116	1859
902	17130	1840
903	17148	1821
904	17166	1802
905	17183	1782
906	17201	1763
907	17221	1744
908	17240	1725
909	17258	1706
910	17277	1687
911	17296	1668
912	17315	1649
913	17332	1630
914	17351	1611
915	17368	1592
916	17385	1573
917	17401	1554
918	17418	1535
919	17433	1515
920	17446	1496
921	17461	1477
922	17476	1457
923	17496	1439
924	17511	1419
925	17525	1400
926	17538	1381
927	17552	1361
928	17566	1342
929	17581	1323
930	17597	1304
931	17612	1285
932	17627	1265
933	17641	1246
934	17657	1227
935	17673	1208
936	17690	1189
937	17708	1170
938	17723	1151
939	17736	1132
940	17750	1112
941	17766	1093
942	17781	1074
943	17796	1055
944	17811	1036
945	17827	1017
946	17841	998
947	17859	979
948	17875	960
949	17894	941
950	17911	922
951	17929	904
952	17946	885
953	17963	866
954	17980	847
955	18000	828
956	18020	809
957	18039	790
958	18059	772
959	18079	753
960	18099	734
961	18121	715
962	18142	697
963	18158	678
964	18176	659
965	18192	640
966	18211	621
967	18229	602
968	18244	583
969	18261	564
970	18285	546
971	18305	527
972	18323	508
973	18340	489
974	18356	470
975	18373	451
976	18388	432
977	18404	414
978	18420	395
979	18436	376
980	18450	357
981	18464	338
982	18481	319
983	18495	300
984	18516	281
985	18534	263
986	18549	244
987	18564	225
988	18581	206
989	18597	187
990	18652	169
991	18694	150
992	18717	131
993	18732	113
994	18747	94
995	18764	75
996	18777	56
997	18793	37
998	18807	18
999	18824	0
